Skecos6	K06685
Skedoh16789	K08738
Skedoh16804	K01414
Skedoh16817	K08142
Skedoh16821	K10599
Skedoh16825	K00640
Skedoh16827	K06174
Skedoh16828	K00472
Skedoh16829	K08065
Skedoh16841	K03574
Skedoh16858	K17839
Skedoh16862	K14787
Skedoh16865	K02321
Skedoh16876	K16055
Skedoh16877	K00416
Skedoh16887	K11647
Skedoh16889	K05294
Skedoh16890	K17497
Skedoh16897	K12590
Skedoh16906	K13101
Skedoh16908	K02719
Skedoh16917	K14301
Skedoh16927	K01392
Skedoh16936	K08832
Skedoh16938	K15335
Skedoh16939	K01358
Skedoh16944	K10755
Skedoh16949	K02492
Skedoh16952	K03526
Skedoh16954	K17261
Skedoh16960	K03664
Skedoh16965	K00432
Skedoh16966	K15731
Skedoh16968	K02915
Skedoh16974	K01419
Skedoh16975	K05662
Skedoh16977	K01892
Skedoh16979	K00773
Skedoh16984	K01079
Skedoh16993	K12818
Skedoh16994	K01899
Skedoh16998	K03704
Skedoh16999	K11253
Skedoh17015	K01358
Skedoh17016	K08963
Skedoh17020	K00784
Skedoh17022	K09539
Skedoh17033	K00626
Skedoh17039	K01078
Skedoh17041	K13525
Skedoh17042	K02327
Skedoh17043	K12160
Skedoh17050	K00820
Skedoh17057	K01792
Skedoh17061	K00266
Skedoh17064	K06130
Skedoh17068	K03715
Skedoh17069	K17086
Skedoh17084	K17427
Skedoh17090	K00815
Skedoh17095	K05605
Skedoh17098	K01210
Skedoh17102	K10586
Skedoh17125	K01597
Skedoh17143	K03108
Skedoh17160	K08910
Skedoh17169	K01835
Skedoh17176	K02639
Skedoh17177	K17279
Skedoh17180	K01534
Skedoh17184	K03032
Skedoh17211	K08498
Skedoh17212	K13348
Skedoh17216	K07151
Skedoh17217	K14293
Skedoh17226	K00327
Skedoh17231	K09657
Skedoh17238	K00820
Skedoh17241	K06672
Skedoh17242	K00927
Skedoh17246	K17808
Skedoh17262	K00213
Skedoh17263	K17795
Skedoh17264	K17301
Skedoh17265	K10878
Skedoh17266	K06972
Skedoh17271	K02036
Skedoh17282	K13076
Skedoh17283	K07025
Skedoh17285	K01749
Skedoh17296	K03177
Skedoh17302	K12878
Skedoh17306	K08272
Skedoh17312	K14787
Skedoh17313	K10706
Skedoh17318	K06883
Skedoh17321	K11293
Skedoh17337	K02927
Skedoh17348	K01303
Skedoh17362	K03678
Skedoh17364	K14815
Skedoh17367	K12581
Skedoh17369	K17794
Skedoh17372	K00286
Skedoh17375	K03246
Skedoh17377	K00327
Skedoh17389	K01783
Skedoh17392	K15542
Skedoh17395	K02357
Skedoh17396	K14292
Skedoh17403	K01365
Skedoh17410	K00318
Skedoh17411	K01001
Skedoh17425	K00236
Skedoh17426	K01892
Skedoh17433	K16185
Skedoh17434	K00831
Skedoh17435	K01265
Skedoh17437	K02978
Skedoh17439	K01872
Skedoh17447	K01872
Skedoh17451	K00469
Skedoh17454	K00940
Skedoh17461	K14821
Skedoh17467	K14564
Skedoh17470	K02864
Skedoh17487	K04498
Skedoh17490	K02984
Skedoh17491	K02267
Skedoh17509	K02889
Skedoh17511	K15276
Skedoh17517	K12862
Skedoh17525	K14831
Skedoh17527	K14837
Skedoh17530	K06185
Skedoh17580	K06883
Skedoh17581	K01736
Skedoh17583	K01694
Skedoh17591	K10575
Skedoh17592	K11519
Skedoh17595	K02941
Skedoh17598	K14558
Skedoh17600	K14640
Skedoh17606	K02981
Skedoh17607	K14554
Skedoh17608	K11093
Skedoh17612	K12621
Skedoh17615	K00611
Skedoh17619	K04567
Skedoh17629	K02737
Skedoh17632	K03687
Skedoh17633	K04798
Skedoh17635	K01733
Skedoh17636	K01078
Skedoh17647	K02155
Skedoh17648	K02437
Skedoh17652	K12572
Skedoh17653	K10573
Skedoh17655	K02934
Skedoh17660	K03107
Skedoh17662	K02969
Skedoh17667	K12275
Skedoh17669	K02910
Skedoh17671	K15113
Skedoh17685	K02901
Skedoh17690	K03250
Skedoh17695	K02973
Skedoh17700	K01802
Skedoh17702	K11252
Skedoh17715	K14319
Skedoh17716	K06099
Skedoh17722	K00799
Skedoh17731	K11788
Skedoh17746	K08493
Skedoh17748	K03132
Skedoh17749	K03940
Skedoh17751	K01527
Skedoh17754	K11094
Skedoh17761	K01166
Skedoh17762	K00676
Skedoh17763	K03235
Skedoh17772	K02962
Skedoh17775	K06892
Skedoh17804	K02896
Skedoh17811	K01887
Skedoh17813	K00616
Skedoh17816	K02960
Skedoh17826	K15448
Skedoh17829	K00295
Skedoh17831	K01951
Skedoh17833	K14962
Skedoh17836	K01814
Skedoh17837	K02943
Skedoh17843	K03265
Skedoh17845	K15262
Skedoh17846	K03320
Skedoh17847	K16570
Skedoh17857	K02729
Skedoh17863	K00600
Skedoh17872	K10577
Skedoh17875	K03116
Skedoh17876	K11826
Skedoh17878	K03953
Skedoh17907	K00026
Skedoh17909	K03439
Skedoh17923	K04078
Skedoh17928	K14563
Skedoh17937	K01735
Skedoh17940	K11086
Skedoh17941	K15030
Skedoh17945	K02885
Skedoh17947	K08504
Skedoh17949	K11294
Skedoh17956	K17279
Skedoh17963	K02730
Skedoh17968	K07393
Skedoh17977	K01230
Skedoh17986	K02719
Skedoh17989	K02727
Skedoh17990	K02866
Skedoh17994	K01462
Skedoh18003	K12625
Skedoh18004	K13421
Skedoh18022	K07497
Skedoh18045	K14794
Skedoh18058	K02221
Skedoh18060	K12613
Skedoh18063	K02915
Skedoh18077	K06944
Skedoh18091	K11097
Skedoh18092	K17553
Skedoh18096	K14798
Skedoh18098	K13628
Skedoh18100	K09843
Skedoh18101	K01669
Skedoh18109	K03061
Skedoh18132	K02953
Skedoh18134	K00167
Skedoh18139	K11165
Skedoh18141	K00761
Skedoh18142	K03027
Skedoh18143	K14816
Skedoh18146	K14791
Skedoh18150	K04797
Skedoh18152	K07179
Skedoh18153	K13448
Skedoh18154	K14819
Skedoh18156	K02728
Skedoh18160	K07542
Skedoh18166	K15015
Skedoh18176	K02716
Skedoh18184	K14793
Skedoh18187	K03242
Skedoh18188	K09516
Skedoh18190	K00413
Skedoh18193	K00891
Skedoh18198	K14833
Skedoh18199	K01006
Skedoh18220	K14640
Skedoh18227	K02520
Skedoh18232	K02356
Skedoh18240	K02877
Skedoh18241	K14404
Skedoh18242	K10418
Skedoh18243	K03259
Skedoh18245	K03955
Skedoh18247	K14016
Skedoh18248	K03066
Skedoh18249	K02726
Skedoh18253	K08515
Skedoh18260	K10534
Skedoh18262	K02900
Skedoh18290	K02218
Skedoh18292	K00873
Skedoh18297	K14820
Skedoh18305	K03259
Skedoh18309	K14565
Skedoh18381	K01847
Skedoh18389	K10844
Skedoh18391	K13111
Skedoh18397	K01756
Skedoh18404	K03754
Skedoh18405	K13099
Skedoh18407	K01519
Skedoh18411	K05868
Skedoh18424	K01173
Skedoh18425	K10591
Skedoh18426	K06182
Skedoh18429	K17255
Skedoh18430	K00972
Skedoh18438	K05692
Skedoh18444	K02967
Skedoh18447	K13431
Skedoh18448	K01883
Skedoh18462	K02898
Skedoh18473	K14696
Skedoh18478	K17679
Skedoh18482	K14788
Skedoh18483	K11644
Skedoh18490	K02331
Skedoh18511	K03006
Skedoh18520	K16833
Skedoh18530	K00555
Skedoh18531	K07556
Skedoh18540	K02350
Skedoh18546	K00995
Skedoh18571	K14662
Skedoh18573	K00616
Skedoh18580	K03595
Skedoh18582	K17065
Skedoh18586	K00894
Skedoh18594	K02880
Skedoh18599	K01090
Skedoh18608	K12879
Skedoh18630	K08910
Skedoh18639	K02603
Skedoh18641	K06100
Skedoh18643	K02998
Skedoh18649	K05389
Skedoh18651	K17605
Skedoh18653	K00640
Skedoh18671	K03247
Skedoh18672	K03019
Skedoh18680	K11251
Skedoh18683	K12199
Skedoh18684	K15356
Skedoh18691	K15450
Skedoh18692	K11294
Skedoh18693	K07374
Skedoh18698	K04078
Skedoh18722	K00416
Skedoh18723	K12946
Skedoh18731	K02879
Skedoh18732	K15109
Skedoh18735	K02949
Skedoh18738	K12606
Skedoh18745	K15280
Skedoh18757	K14553
Skedoh18758	K07023
Skedoh18771	K06671
Skedoh18779	K03238
Skedoh18780	K00760
Skedoh18784	K02875
Skedoh18833	K03797
Skedoh18845	K01183
Skedoh18847	K01437
Skedoh18862	K14769
Skedoh18868	K15449
Skedoh18869	K14864
Skedoh18880	K02922
Skedoh18888	K01529
Skedoh18895	K01823
Skedoh18896	K12589
Skedoh18899	K08592
Skedoh18900	K07178
Skedoh18902	K12307
Skedoh18931	K00888
Skedoh18954	K04488
Skedoh18966	K00253
Skedoh18981	K07942
Skedoh18982	K02906
Skedoh18983	K11806
Skedoh18984	K15171
Skedoh18988	K14785
Skedoh19005	K15102
Skedoh19022	K02894
Skedoh19023	K14569
Skedoh19024	K08246
Skedoh19025	K15272
Skedoh19026	K00053
Skedoh19031	K07901
Skedoh19033	K00948
Skedoh19039	K03639
Skedoh19043	K11843
Skedoh19056	K07573
Skedoh19063	K00510
Skedoh19068	K08818
Skedoh19077	K02929
Skedoh19079	K06171
Skedoh19084	K14289
Skedoh19085	K03637
Skedoh19088	K08343
Skedoh19091	K03596
Skedoh19092	K02937
Skedoh19099	K09488
Skedoh19104	K03644
Skedoh19106	K14838
Skedoh19111	K03511
Skedoh19113	K01778
Skedoh19115	K14191
Skedoh19116	K02137
Skedoh19126	K11129
Skedoh19133	K02903
Skedoh19143	K02155
Skedoh19150	K07753
Skedoh19152	K03063
Skedoh19155	K17268
Skedoh19165	K00953
Skedoh19167	K11884
Skedoh19169	K03355
Skedoh19177	K10251
Skedoh19184	K03773
Skedoh19194	K07515
Skedoh19217	K00297
Skedoh19264	K14965
Skedoh19267	K01807
Skedoh19268	K04563
Skedoh19289	K01312
Skedoh19304	K12587
Skedoh19318	K01624
Skedoh19330	K13179
Skedoh19331	K06693
Skedoh19337	K15109
Skedoh19342	K11254
Skedoh19343	K07001
Skedoh19344	K12486
Skedoh19353	K17783
Skedoh19366	K00784
Skedoh19386	K05290
Skedoh19390	K00833
Skedoh19400	K15284
Skedoh19420	K15216
Skedoh19448	K10743
Skedoh19453	K06972
Skedoh19478	K03321
Skedoh19481	K03257
Skedoh19483	K13103
Skedoh19488	K13205
Skedoh19489	K02868
Skedoh19491	K13101
Skedoh19495	K06634
Skedoh19499	K01201
Skedoh19508	K00058
Skedoh19521	K12826
Skedoh19526	K05695
Skedoh19529	K00914
Skedoh19530	K14834
Skedoh19538	K00826
Skedoh19543	K11824
Skedoh19544	K02870
Skedoh19545	K14859
Skedoh19549	K14799
Skedoh19551	K03283
Skedoh19556	K14573
Skedoh19566	K16075
Skedoh19568	K02959
Skedoh19572	K17506
Skedoh19575	K12619
Skedoh19580	K08498
Skedoh19623	K12857
Skedoh19624	K12817
Skedoh19626	K08867
Skedoh19631	K01802
Skedoh19649	K00078
Skedoh19652	K08916
Skedoh19661	K10047
Skedoh19662	K06126
Skedoh19663	K14326
Skedoh19668	K10728
Skedoh19690	K11275
Skedoh19691	K15033
Skedoh19696	K14780
Skedoh19699	K09562
Skedoh19713	K03105
Skedoh19716	K12878
Skedoh19721	K07648
Skedoh19728	K01100
Skedoh19733	K12585
Skedoh19745	K03574
Skedoh19747	K14457
Skedoh19755	K05544
Skedoh19761	K14455
Skedoh19797	K07002
Skedoh19802	K13960
Skedoh19805	K14209
Skedoh19811	K12863
Skedoh19825	K00461
Skedoh19831	K17989
Skedoh19832	K03015
Skedoh19845	K03017
Skedoh19847	K15105
Skedoh19848	K14835
Skedoh19854	K13100
Skedoh19858	K01881
Skedoh19866	K02958
Skedoh19867	K11827
Skedoh19870	K00088
Skedoh19897	K08869
Skedoh19898	K07151
Skedoh19905	K01312
Skedoh19924	K01969
Skedoh19926	K00383
Skedoh19933	K01379
Skedoh19951	K09660
Skedoh19952	K03164
Skedoh19964	K07466
Skedoh19966	K01652
Skedoh19976	K08272
Skedoh19980	K12829
Skedoh19983	K12823
Skedoh19991	K01937
Skedoh19995	K12614
Skedoh20000	K00276
Skedoh20002	K01008
Skedoh20004	K01693
Skedoh20007	K06158
Skedoh20011	K08851
Skedoh20012	K05543
Skedoh20017	K14213
Skedoh20029	K01520
Skedoh20037	K00459
Skedoh20056	K12185
Skedoh20078	K00472
Skedoh20082	K01164
Skedoh20087	K14402
Skedoh20136	K10256
Skedoh20140	K00456
Skedoh20150	K17686
Skedoh20153	K07376
Skedoh20154	K01269
Skedoh20164	K02871
Skedoh20181	K00294
Skedoh20188	K17427
Skedoh20191	K11578
Skedoh20197	K03259
Skedoh20203	K07562
Skedoh20211	K17607
Skedoh20231	K10589
Skedoh20241	K02951
Skedoh20249	K02219
Skedoh20260	K12859
Skedoh20263	K14548
Skedoh20266	K09537
Skedoh20267	K03255
Skedoh20270	K05863
Skedoh20272	K00919
Skedoh20273	K01581
Skedoh20281	K00226
Skedoh20324	K12837
Skedoh20326	K14026
Skedoh20333	K01433
Skedoh20368	K04371
Skedoh20382	K17262
Skedoh20397	K01247
Skedoh20399	K04708
Skedoh20415	K00215
Skedoh20418	K00872
Skedoh20428	K00913
Skedoh20450	K12571
Skedoh20476	K17681
Skedoh20478	K01120
Skedoh20488	K14557
Skedoh20503	K10258
Skedoh20505	K01883
Skedoh20508	K02926
Skedoh20541	K00218
Skedoh20543	K00311
Skedoh20544	K01886
Skedoh20545	K01365
Skedoh20552	K02947
Skedoh20560	K16911
Skedoh20567	K00993
Skedoh20571	K00718
Skedoh20574	K01602
Skedoh20585	K13350
Skedoh20613	K14724
Skedoh20626	K00766
Skedoh20630	K02295
Skedoh20635	K06963
Skedoh20639	K18170
Skedoh20642	K11159
Skedoh20651	K03301
Skedoh20663	K03347
Skedoh20664	K12819
Skedoh20667	K11600
Skedoh20685	K11838
Skedoh20686	K09391
Skedoh20687	K15289
Skedoh20691	K00600
Skedoh20692	K03094
Skedoh20695	K03106
Skedoh20707	K05284
Skedoh20710	K03921
Skedoh20713	K02882
Skedoh20725	K06638
Skedoh20737	K12827
Skedoh20740	K01358
Skedoh20741	K14950
Skedoh20748	K12394
Skedoh20777	K00981
Skedoh20797	K02604
Skedoh20799	K17790
Skedoh20809	K00228
Skedoh20852	K13121
Skedoh20866	K00993
Skedoh20867	K00898
Skedoh20896	K03801
Skedoh20898	K14286
Skedoh20903	K00784
Skedoh20904	K12836
Skedoh20905	K14768
Skedoh20912	K08902
Skedoh20914	K12898
Skedoh20916	K00587
Skedoh20925	K01770
Skedoh20958	K17795
Skedoh20988	K16302
Skedoh21012	K10686
Skedoh21032	K12184
Skedoh21034	K00773
Skedoh21037	K14852
Skedoh21038	K06067
Skedoh21050	K10415
Skedoh21055	K08142
Skedoh21059	K13754
Skedoh21060	K01358
Skedoh21061	K14535
Skedoh21064	K00654
Skedoh21067	K06942
Skedoh21069	K14012
Skedoh21083	K12734
Skedoh21086	K15032
Skedoh21089	K14721
Skedoh21101	K00679
Skedoh21103	K07735
Skedoh21104	K00933
Skedoh21106	K15026
Skedoh21111	K04482
Skedoh21115	K00384
Skedoh21116	K16055
Skedoh21117	K12623
Skedoh21122	K13181
Skedoh21125	K10875
Skedoh21126	K05539
Skedoh21130	K14309
Skedoh21139	K11488
Skedoh21146	K14950
Skedoh21152	K00528
Skedoh21155	K07820
Skedoh21158	K15103
Skedoh21159	K14811
Skedoh21166	K15728
Skedoh21173	K03141
Skedoh21174	K12869
Skedoh21179	K07375
Skedoh21189	K16569
Skedoh21200	K17981
Skedoh21201	K14556
Skedoh21202	K06943
Skedoh21203	K01183
Skedoh21204	K02977
Skedoh21205	K03235
Skedoh21209	K08675
Skedoh21215	K12830
Skedoh21226	K03012
Skedoh21227	K02891
Skedoh21230	K02335
Skedoh21234	K11293
Skedoh21241	K02636
Skedoh21248	K02326
Skedoh21250	K02867
Skedoh21255	K01918
Skedoh21260	K09499
Skedoh21261	K01768
Skedoh21275	K13525
Skedoh21278	K02873
Skedoh21284	K10753
Skedoh21294	K11855
Skedoh21311	K15336
Skedoh21319	K16578
Skedoh21326	K14972
Skedoh21340	K01551
Skedoh21351	K00627
Skedoh21361	K13119
Skedoh21364	K12598
Skedoh21367	K02737
Skedoh21373	K03671
Skedoh21377	K09272
Skedoh21381	K01834
Skedoh21382	K14842
Skedoh21388	K05542
Skedoh21394	K02703
Skedoh21408	K09660
Skedoh21412	K12831
Skedoh21415	K01934
Skedoh21471	K12834
Skedoh21475	K13783
Skedoh21480	K11252
Skedoh21485	K03009
Skedoh21492	K02358
Skedoh21493	K05765
Skedoh21494	K14775
Skedoh21495	K00873
Skedoh21496	K13993
Skedoh21503	K15110
Skedoh21529	K09140
Skedoh21540	K00948
Skedoh21542	K12385
Skedoh21546	K12304
Skedoh21549	K08860
Skedoh21553	K01663
Skedoh21555	K01950
Skedoh21556	K02838
Skedoh21557	K02957
Skedoh21569	K03231
Skedoh21573	K00962
Skedoh21589	K09966
Skedoh21595	K13754
Skedoh21598	K07739
Skedoh21607	K15172
Skedoh21608	K01897
Skedoh21623	K02257
Skedoh21634	K15498
Skedoh21641	K11786
Skedoh21645	K16344
Skedoh21647	K14809
Skedoh21649	K14771
Skedoh21656	K00020
Skedoh21664	K00784
Skedoh21669	K14843
Skedoh21703	K07300
Skedoh21707	K14808
Skedoh21715	K09284
Skedoh21717	K10891
Skedoh21727	K00861
Skedoh21740	K01887
Skedoh21742	K09553
Skedoh21743	K00655
Skedoh21746	K03596
Skedoh21747	K14589
Skedoh21750	K03260
Skedoh21754	K03426
Skedoh21760	K13237
Skedoh21762	K01893
Skedoh21791	K01958
Skedoh21795	K03038
Skedoh21797	K14400
Skedoh21802	K06689
Skedoh21805	K14455
Skedoh21812	K14293
Skedoh21817	K01764
Skedoh21835	K02684
Skedoh21850	K09528
Skedoh21862	K01783
Skedoh21882	K01120
Skedoh21908	K15445
Skedoh21917	K03297
Skedoh21921	K04503
Skedoh21970	K11294
Skedoh21998	K03458
Skedoh22050	K17619
Skedoh22069	K02995
Skedoh22070	K10752
Skedoh22076	K06890
Skedoh22080	K11968
Skedoh22110	K12611
Skedoh22114	K00797
Skedoh22127	K08336
Skedoh22155	K10704
Skedoh22163	K10755
Skedoh22173	K10427
Skedoh22175	K15507
Skedoh22207	K15175
Skedoh22212	K14376
Skedoh22214	K14538
Skedoh22215	K03517
Skedoh22216	K08490
Skedoh22217	K02991
Skedoh22218	K01867
Skedoh22227	K00898
Skedoh22229	K14298
Skedoh22233	K10849
Skedoh22235	K01676
Skedoh22237	K12871
Skedoh22241	K01007
Skedoh22247	K01626
Skedoh22255	K10643
Skedoh22257	K00225
Skedoh22258	K14810
Skedoh22259	K10684
Skedoh22262	K02917
Skedoh22269	K11996
Skedoh22279	K06184
Skedoh22282	K07429
Skedoh22295	K00166
Skedoh22298	K12657
Skedoh22308	K12825
Skedoh22311	K03327
Skedoh22315	K10661
Skedoh22321	K10695
Skedoh22332	K13116
Skedoh22346	K01392
Skedoh22351	K03145
Skedoh22360	K03294
Skedoh22364	K08808
Skedoh22365	K15335
Skedoh22368	K09549
Skedoh22393	K18158
Skedoh22395	K13346
Skedoh22396	K15429
Skedoh22397	K02925
Skedoh22399	K15104
Skedoh22426	K00327
Skedoh22474	K01183
Skedoh22475	K01115
Skedoh22476	K04899
Skedoh22483	K14570
Skedoh22486	K14863
Skedoh22498	K01514
Skedoh22502	K11981
Skedoh22513	K15085
Skedoh22569	K02180
Skedoh22580	K11518
Skedoh22585	K12842
Skedoh22597	K00344
Skedoh22611	K01623
Skedoh22613	K01937
Skedoh22617	K02144
Skedoh22635	K09602
Skedoh22659	K12403
Skedoh22705	K10364
Skedoh22717	K14832
Skedoh22718	K01873
Skedoh22751	K00432
Skedoh22756	K02147
Skedoh22758	K03846
Skedoh22760	K00223
Skedoh22769	K00800
Skedoh22773	K01455
Skedoh22786	K14560
Skedoh22788	K00411
Skedoh22789	K01866
Skedoh22794	K03000
Skedoh22806	K14827
Skedoh22819	K01649
Skedoh22837	K03715
Skedoh22840	K17890
Skedoh22848	K12608
Skedoh22855	K09490
Skedoh22858	K15277
Skedoh22860	K02735
Skedoh22873	K06066
Skedoh22876	K00566
Skedoh22877	K02726
Skedoh22878	K07977
Skedoh22882	K17619
Skedoh22883	K01142
Skedoh22895	K03671
Skedoh22903	K01176
Skedoh22917	K03097
Skedoh22919	K08744
Skedoh22924	K03515
Skedoh22925	K02641
Skedoh22929	K12735
Skedoh22963	K02912
Skedoh22965	K10704
Skedoh22976	K14682
Skedoh22979	K01412
Skedoh22980	K10601
Skedoh22982	K00366
Skedoh22994	K12839
Skedoh22995	K02227
Skedoh22997	K14358
Skedoh23000	K00604
Skedoh23005	K12847
Skedoh23010	K03217
Skedoh23011	K00234
Skedoh23016	K00025
Skedoh23023	K03263
Skedoh23026	K03264
Skedoh23029	K12855
Skedoh23039	K01535
Skedoh23043	K02495
Skedoh23046	K14299
Skedoh23063	K00814
Skedoh23065	K07943
Skedoh23148	K03404
Skedoh23161	K13811
Skedoh23162	K01784
Skedoh23164	K01647
Skedoh23168	K00328
Skedoh23173	K10144
Skedoh23181	K11805
Skedoh23182	K06177
Skedoh23207	K14844
Skedoh23226	K14824
Skedoh23230	K14652
Skedoh23253	K13207
Skedoh23254	K01090
Skedoh23263	K05034
Skedoh23274	K02865
Skedoh23284	K13348
Skedoh23288	K00602
Skedoh23292	K11976
Skedoh23329	K14015
Skedoh23332	K00939
Skedoh23347	K15446
Skedoh23357	K04487
Skedoh23368	K14765
Skedoh23397	K08516
Skedoh23399	K13115
Skedoh23403	K14786
Skedoh23409	K02918
Skedoh23414	K15277
Skedoh23416	K13091
Skedoh23418	K14806
Skedoh23439	K12845
Skedoh23453	K11793
Skedoh23463	K15263
Skedoh23464	K00486
Skedoh23469	K11126
Skedoh23476	K11883
Skedoh23478	K09539
Skedoh23486	K03671
Skedoh23490	K00059
Skedoh23511	K03020
Skedoh23513	K03253
Skedoh23517	K11808
Skedoh23522	K02516
Skedoh23532	K12737
Skedoh23534	K09935
Skedoh23558	K00020
Skedoh23559	K01850
Skedoh23564	K01354
Skedoh23571	K03843
Skedoh23577	K06672
Skedoh23602	K16810
Skedoh23620	K11430
Skedoh23623	K16318
Skedoh23634	K01934
Skedoh23637	K11368
Skedoh23640	K03004
Skedoh23646	K01611
Skedoh23647	K00670
Skedoh23671	K10885
Skedoh23688	K13108
Skedoh23692	K15443
Skedoh23698	K10144
Skedoh23699	K03251
Skedoh23711	K03249
Skedoh23732	K11131
Skedoh23755	K11108
Skedoh23764	K00826
Skedoh23774	K10808
Skedoh23779	K01702
Skedoh23785	K07152
Skedoh23787	K12872
Skedoh23788	K11135
Skedoh23789	K07897
Skedoh23791	K00927
Skedoh23794	K10582
Skedoh23796	K02155
Skedoh23826	K01809
Skedoh23843	K11364
Skedoh23856	K02883
Skedoh23866	K14855
Skedoh23877	K00927
Skedoh23881	K05658
Skedoh23887	K02734
Skedoh23892	K11416
Skedoh23894	K15332
Skedoh23900	K10848
Skedoh23901	K14709
Skedoh23902	K02291
Skedoh23911	K02739
Skedoh23913	K05956
Skedoh23915	K02976
Skedoh23936	K08341
Skedoh23937	K00927
Skedoh23951	K14787
Skedoh23961	K06901
Skedoh23965	K11373
Skedoh23980	K03353
Skedoh23983	K14559
Skedoh23984	K08678
Skedoh23986	K00817
Skedoh23996	K08850
Skedoh24020	K11322
Skedoh24029	K10536
Skedoh24030	K08596
Skedoh24035	K15196
Skedoh24037	K14347
Skedoh24038	K06669
Skedoh24041	K01855
Skedoh24077	K05289
Skedoh24090	K02938
Skedoh24092	K01011
Skedoh24114	K17781
Skedoh24125	K10579
Skedoh24128	K01191
Skedoh24129	K00435
Skedoh24132	K12818
Skedoh24142	K01138
Skedoh24153	K05665
Skedoh24163	K14006
Skedoh24164	K00510
Skedoh24166	K03495
Skedoh24169	K03885
Skedoh24170	K00914
Skedoh24174	K00790
Skedoh24210	K03237
Skedoh24218	K07304
Skedoh24272	K06207
Skedoh24303	K14823
Skedoh24311	K01099
Skedoh24314	K03131
Skedoh24316	K09250
Skedoh24325	K04640
Skedoh24343	K01754
Skedoh24369	K04508
Skedoh24371	K01836
Skedoh24373	K03969
Skedoh24384	K00801
Skedoh24386	K03231
Skedoh24389	K13176
Skedoh24390	K02327
Skedoh24391	K03113
Skedoh24394	K10807
Skedoh24401	K02469
Skedoh24407	K17339
Skedoh24408	K02879
Skedoh24429	K13342
Skedoh24461	K17583
Skedoh24464	K01601
Skedoh24476	K10908
Skedoh24478	K14841
Skedoh24479	K15275
Skedoh24483	K12397
Skedoh24488	K12347
Skedoh24489	K17943
Skedoh24491	K03664
Skedoh24511	K02148
Skedoh24538	K06867
Skedoh24554	K14802
Skedoh24559	K02115
Skedoh24563	K01638
Skedoh24581	K12307
Skedoh24582	K00589
Skedoh24596	K08827
Skedoh24601	K03243
Skedoh24602	K15027
Skedoh24605	K06980
Skedoh24608	K00001
Skedoh24611	K07513
Skedoh24619	K03924
Skedoh24623	K02132
Skedoh24630	K03240
Skedoh24660	K05292
Skedoh24662	K15116
Skedoh24665	K17780
Skedoh24678	K13199
Skedoh24681	K03007
Skedoh24728	K02518
Skedoh24730	K03676
Skedoh24758	K08906
Skedoh24775	K11251
Skedoh24837	K01755
Skedoh24838	K10903
Skedoh24841	K15423
Skedoh24845	K01113
Skedoh24859	K17822
Skedoh24861	K03262
Skedoh24865	K00784
Skedoh24867	K00472
Skedoh24875	K13412
Skedoh24876	K00472
Skedoh24880	K10276
Skedoh24887	K14568
Skedoh24891	K03671
Skedoh24900	K12603
Skedoh24907	K14856
Skedoh24912	K04794
Skedoh24916	K10858
Skedoh24929	K02355
Skedoh24932	K01679
Skedoh24937	K12398
Skedoh24940	K12821
Skedoh24948	K04646
Skedoh24965	K12864
Skedoh24967	K01876
Skedoh24972	K01265
Skedoh24974	K11754
Skedoh24977	K04382
Skedoh25011	K00029
Skedoh25022	K03130
Skedoh25040	K03305
Skedoh25051	K10899
Skedoh25059	K02355
Skedoh25063	K09699
Skedoh25064	K03978
Skedoh25069	K00849
Skedoh25092	K15900
Skedoh25103	K00799
Skedoh25119	K01948
Skedoh25128	K02738
Skedoh25139	K15206
Skedoh25141	K07240
Skedoh25149	K03626
Skedoh25192	K01265
Skedoh25194	K14537
Skedoh25228	K15040
Skedoh25229	K01609
Skedoh25252	K02964
Skedoh25273	K02480
Skedoh25327	K15456
Skedoh25339	K06889
Skedoh25356	K07304
Skedoh25358	K00928
Skedoh25440	K14396
Skedoh25443	K04567
Skedoh25448	K02923
Skedoh25456	K00698
Skedoh25458	K06130
Skedoh25468	K02876
Skedoh25475	K04077
Skedoh25488	K01914
Skedoh25495	K06875
Skedoh25499	K15687
Skedoh25505	K11717
Skedoh25506	K00784
Skedoh25522	K14301
Skedoh25524	K00809
Skedoh25530	K01952
Skedoh25532	K14326
Skedoh25547	K12812
Skedoh25571	K09568
Skedoh25573	K05658
Skedoh25584	K01779
Skedoh25592	K13348
Skedoh25594	K08333
Skedoh25598	K00641
Skedoh25603	K16055
Skedoh25604	K00254
Skedoh25617	K01534
Skedoh25619	K15335
Skedoh25630	K02966
Skedoh25650	K03679
Skedoh25655	K10688
Skedoh25674	K11374
Skedoh25692	K12874
Skedoh25696	K07195
Skedoh25697	K03665
Skedoh25700	K12493
Skedoh25701	K17868
Skedoh25702	K00284
Skedoh25703	K02945
Skedoh25704	K14572
Skedoh25711	K14997
Skedoh25725	K03037
Skedoh25768	K15441
Skedoh25855	K11412
Skedoh25856	K01255
Skedoh25882	K10765
Skedoh25957	K14839
Skedoh25965	K13337
Skedoh25966	K12627
Skedoh25985	K08819
Skedoh25991	K13238
Skedoh26008	K11434
Skedoh26011	K03530
Skedoh26016	K01897
Skedoh26018	K10419
Skedoh26027	K03283
Skedoh26032	K01792
Skedoh26041	K13094
Skedoh26043	K08856
