,nCpds,nGenes,Km0_cpd,Km0_gene,Km1_cpd,Km1_gene,Km2_cpd,Km2_gene,Km3_cpd,Km3_gene,Km4_cpd,Km4_gene,Km5_cpd,Km5_gene,pathwayInfo,pathwayGroup_A,pathwayGroup_B
ko04070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phosphatidylinositol signaling system,Environmental Information Processing,Signal transduction
ko04071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sphingolipid signaling pathway,Environmental Information Processing,Signal transduction
ko04072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phospholipase D signaling pathway,Environmental Information Processing,Signal transduction
ko04075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plant hormone signal transduction,Environmental Information Processing,Signal transduction
ko04080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neuroactive ligand-receptor interaction,Environmental Information Processing,Signaling molecules and interaction
ko04110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cell cycle,Cellular Processes,Cell growth and death
ko04111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cell cycle - yeast,Cellular Processes,Cell growth and death
ko04112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cell cycle - Caulobacter,Cellular Processes,Cell growth and death
ko04113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meiosis - yeast,Cellular Processes,Cell growth and death
ko04114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oocyte meiosis,Cellular Processes,Cell growth and death
ko04115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p53 signaling pathway,Cellular Processes,Cell growth and death
ko04120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubiquitin mediated proteolysis,Genetic Information Processing,"Folding, sorting and degradation"
ko04122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfur relay system,Genetic Information Processing,"Folding, sorting and degradation"
ko04130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNARE interactions in vesicular transport,Genetic Information Processing,"Folding, sorting and degradation"
ko04140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulation of autophagy,Cellular Processes,Transport and catabolism
ko04141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protein processing in endoplasmic reticulum,Genetic Information Processing,"Folding, sorting and degradation"
ko04142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lysosome,Cellular Processes,Transport and catabolism
ko04144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Endocytosis,Cellular Processes,Transport and catabolism
ko04145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phagosome,Cellular Processes,Transport and catabolism
ko04146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peroxisome,Cellular Processes,Transport and catabolism
ko04150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mTOR signaling pathway,Environmental Information Processing,Signal transduction
ko04151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PI3K-Akt signaling pathway,Environmental Information Processing,Signal transduction
ko04152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMPK signaling pathway,Environmental Information Processing,Signal transduction
ko04210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apoptosis,Cellular Processes,Cell growth and death
ko04260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cardiac muscle contraction,Organismal Systems,Circulatory system
ko04261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adrenergic signaling in cardiomyocytes,Organismal Systems,Circulatory system
ko04270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vascular smooth muscle contraction,Organismal Systems,Circulatory system
ko04310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wnt signaling pathway,Environmental Information Processing,Signal transduction
ko04320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dorso-ventral axis formation,Organismal Systems,Development
ko04330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Notch signaling pathway,Environmental Information Processing,Signal transduction
ko04340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hedgehog signaling pathway,Environmental Information Processing,Signal transduction
ko04350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TGF-beta signaling pathway,Environmental Information Processing,Signal transduction
ko04360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Axon guidance,Organismal Systems,Development
ko04370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VEGF signaling pathway,Environmental Information Processing,Signal transduction
ko04380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Osteoclast differentiation,Organismal Systems,Development
ko04390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hippo signaling pathway,Environmental Information Processing,Signal transduction
ko04391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hippo signaling pathway - fly,Environmental Information Processing,Signal transduction
ko04510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Focal adhesion,Cellular Processes,Cellular community
ko04512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECM-receptor interaction,Environmental Information Processing,Signaling molecules and interaction
ko04514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cell adhesion molecules (CAMs),Environmental Information Processing,Signaling molecules and interaction
ko04520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adherens junction,Cellular Processes,Cellular community
ko04530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tight junction,Cellular Processes,Cellular community
ko04540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gap junction,Cellular Processes,Cellular community
ko04550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Signaling pathways regulating pluripotency of stem cells,Cellular Processes,Cellular community
ko04610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Complement and coagulation cascades,Organismal Systems,Immune system
ko04611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Platelet activation,Organismal Systems,Immune system
ko04612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigen processing and presentation,Organismal Systems,Immune system
ko04614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Renin-angiotensin system,Organismal Systems,Endocrine system
ko04620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toll-like receptor signaling pathway,Organismal Systems,Immune system
ko04621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOD-like receptor signaling pathway,Organismal Systems,Immune system
ko04622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIG-I-like receptor signaling pathway,Organismal Systems,Immune system
ko04623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cytosolic DNA-sensing pathway,Organismal Systems,Immune system
ko04626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plant-pathogen interaction,Organismal Systems,Environmental adaptation
ko04630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jak-STAT signaling pathway,Environmental Information Processing,Signal transduction
ko04640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hematopoietic cell lineage,Organismal Systems,Immune system
ko04650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural killer cell mediated cytotoxicity,Organismal Systems,Immune system
ko04660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T cell receptor signaling pathway,Organismal Systems,Immune system
ko04662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B cell receptor signaling pathway,Organismal Systems,Immune system
ko04664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fc epsilon RI signaling pathway,Organismal Systems,Immune system
ko04666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fc gamma R-mediated phagocytosis,Organismal Systems,Immune system
ko04668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TNF signaling pathway,Environmental Information Processing,Signal transduction
ko04670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leukocyte transendothelial migration,Organismal Systems,Immune system
ko04672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intestinal immune network for IgA production,Organismal Systems,Immune system
ko04710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Circadian rhythm,Organismal Systems,Environmental adaptation
ko04711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Circadian rhythm - fly,Organismal Systems,Environmental adaptation
ko04712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Circadian rhythm - plant,Organismal Systems,Environmental adaptation
ko04713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Circadian entrainment,Organismal Systems,Environmental adaptation
ko04720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-term potentiation,Organismal Systems,Nervous system
ko04721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Synaptic vesicle cycle,Organismal Systems,Nervous system
ko04722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurotrophin signaling pathway,Organismal Systems,Nervous system
ko04723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Retrograde endocannabinoid signaling,Organismal Systems,Nervous system
ko04724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glutamatergic synapse,Organismal Systems,Nervous system
ko04725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cholinergic synapse,Organismal Systems,Nervous system
ko04726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Serotonergic synapse,Organismal Systems,Nervous system
ko04727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GABAergic synapse,Organismal Systems,Nervous system
ko04728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dopaminergic synapse,Organismal Systems,Nervous system
ko04730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-term depression,Organismal Systems,Nervous system
ko04740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olfactory transduction,Organismal Systems,Sensory system
ko04742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taste transduction,Organismal Systems,Sensory system
ko04744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phototransduction,Organismal Systems,Sensory system
ko04745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phototransduction - fly,Organismal Systems,Sensory system
ko04750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inflammatory mediator regulation of TRP channels,Organismal Systems,Sensory system
ko04810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulation of actin cytoskeleton,Cellular Processes,Cell motility
ko04910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insulin signaling pathway,Organismal Systems,Endocrine system
ko04911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insulin secretion,Organismal Systems,Endocrine system
ko04912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GnRH signaling pathway,Organismal Systems,Endocrine system
ko04913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ovarian steroidogenesis,Organismal Systems,Endocrine system
ko04914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Progesterone-mediated oocyte maturation,Organismal Systems,Endocrine system
ko04915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estrogen signaling pathway,Organismal Systems,Endocrine system
ko04916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanogenesis,Organismal Systems,Endocrine system
ko04917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prolactin signaling pathway,Organismal Systems,Endocrine system
ko04918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thyroid hormone synthesis,Organismal Systems,Endocrine system
ko04919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thyroid hormone signaling pathway,Organismal Systems,Endocrine system
ko04920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adipocytokine signaling pathway,Organismal Systems,Endocrine system
ko04921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxytocin signaling pathway,Organismal Systems,Endocrine system
ko04922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glucagon signaling pathway,Organismal Systems,Endocrine system
ko04923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulation of lipolysis in adipocytes,Organismal Systems,Endocrine system
ko04924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Renin secretion,Organismal Systems,Endocrine system
ko04925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aldosterone synthesis and secretion,Organismal Systems,Endocrine system
ko04930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Type II diabetes mellitus,Human Diseases,Endocrine and metabolic diseases
ko04931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insulin resistance,Human Diseases,Endocrine and metabolic diseases
ko04932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non-alcoholic fatty liver disease (NAFLD),Human Diseases,Endocrine and metabolic diseases
ko04940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Type I diabetes mellitus,Human Diseases,Endocrine and metabolic diseases
ko04950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maturity onset diabetes of the young,Human Diseases,Endocrine and metabolic diseases
ko04960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aldosterone-regulated sodium reabsorption,Organismal Systems,Excretory system
ko04961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Endocrine and other factor-regulated calcium reabsorption,Organismal Systems,Excretory system
ko04962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vasopressin-regulated water reabsorption,Organismal Systems,Excretory system
ko04964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proximal tubule bicarbonate reclamation,Organismal Systems,Excretory system
ko04966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collecting duct acid secretion,Organismal Systems,Excretory system
ko04970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salivary secretion,Organismal Systems,Digestive system
ko04971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gastric acid secretion,Organismal Systems,Digestive system
ko04972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pancreatic secretion,Organismal Systems,Digestive system
ko04973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbohydrate digestion and absorption,Organismal Systems,Digestive system
ko04974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protein digestion and absorption,Organismal Systems,Digestive system
ko04975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fat digestion and absorption,Organismal Systems,Digestive system
ko04976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bile secretion,Organismal Systems,Digestive system
ko04977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin digestion and absorption,Organismal Systems,Digestive system
ko04978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mineral absorption,Organismal Systems,Digestive system
ko05010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alzheimer's disease,Human Diseases,Neurodegenerative diseases
ko05012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parkinson's disease,Human Diseases,Neurodegenerative diseases
ko05014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amyotrophic lateral sclerosis (ALS),Human Diseases,Neurodegenerative diseases
ko05016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Huntington's disease,Human Diseases,Neurodegenerative diseases
ko05020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prion diseases,Human Diseases,Neurodegenerative diseases
ko05030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cocaine addiction,Human Diseases,Substance dependence
ko05031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amphetamine addiction,Human Diseases,Substance dependence
ko05032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Morphine addiction,Human Diseases,Substance dependence
ko05033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicotine addiction,Human Diseases,Substance dependence
ko05034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alcoholism,Human Diseases,Substance dependence
ko05100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacterial invasion of epithelial cells,Human Diseases,Infectious diseases: Bacterial
ko05110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vibrio cholerae infection,Human Diseases,Infectious diseases: Bacterial
ko05111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vibrio cholerae pathogenic cycle,Human Diseases,Infectious diseases: Bacterial
ko05120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epithelial cell signaling in Helicobacter pylori infection,Human Diseases,Infectious diseases: Bacterial
ko05130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pathogenic Escherichia coli infection,Human Diseases,Infectious diseases: Bacterial
ko05131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shigellosis,Human Diseases,Infectious diseases: Bacterial
ko05132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salmonella infection,Human Diseases,Infectious diseases: Bacterial
ko05133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pertussis,Human Diseases,Infectious diseases: Bacterial
ko05134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legionellosis,Human Diseases,Infectious diseases: Bacterial
ko05140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leishmaniasis,Human Diseases,Infectious diseases: Parasitic
ko05142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chagas disease (American trypanosomiasis),Human Diseases,Infectious diseases: Parasitic
ko05143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,African trypanosomiasis,Human Diseases,Infectious diseases: Parasitic
ko05144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malaria,Human Diseases,Infectious diseases: Parasitic
ko05145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toxoplasmosis,Human Diseases,Infectious diseases: Parasitic
ko05146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amoebiasis,Human Diseases,Infectious diseases: Parasitic
ko05150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Staphylococcus aureus infection,Human Diseases,Infectious diseases: Bacterial
ko05152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuberculosis,Human Diseases,Infectious diseases: Bacterial
ko05160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C,Human Diseases,Infectious diseases: Viral
ko05161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis B,Human Diseases,Infectious diseases: Viral
ko05162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Measles,Human Diseases,Infectious diseases: Viral
ko05164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Influenza A,Human Diseases,Infectious diseases: Viral
ko05166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HTLV-I infection,Human Diseases,Infectious diseases: Viral
ko05168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herpes simplex infection,Human Diseases,Infectious diseases: Viral
ko05169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epstein-Barr virus infection,Human Diseases,Infectious diseases: Viral
ko05200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pathways in cancer,Human Diseases,Cancers: Overview
ko05202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Transcriptional misregulation in cancer,Human Diseases,Cancers: Overview
ko05203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Viral carcinogenesis,Human Diseases,Cancers: Overview
ko05204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chemical carcinogenesis,Human Diseases,Cancers: Overview
ko05205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteoglycans in cancer,Human Diseases,Cancers: Overview
ko05206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MicroRNAs in cancer,Human Diseases,Cancers: Overview
ko05210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorectal cancer,Human Diseases,Cancers: Specific types
ko05211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Renal cell carcinoma,Human Diseases,Cancers: Specific types
ko05212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pancreatic cancer,Human Diseases,Cancers: Specific types
ko05213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Endometrial cancer,Human Diseases,Cancers: Specific types
ko05214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glioma,Human Diseases,Cancers: Specific types
ko05215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prostate cancer,Human Diseases,Cancers: Specific types
ko05216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thyroid cancer,Human Diseases,Cancers: Specific types
ko05217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basal cell carcinoma,Human Diseases,Cancers: Specific types
ko05218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanoma,Human Diseases,Cancers: Specific types
ko05219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bladder cancer,Human Diseases,Cancers: Specific types
ko05220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chronic myeloid leukemia,Human Diseases,Cancers: Specific types
ko05221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acute myeloid leukemia,Human Diseases,Cancers: Specific types
ko05222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small cell lung cancer,Human Diseases,Cancers: Specific types
ko05223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non-small cell lung cancer,Human Diseases,Cancers: Specific types
ko05230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central carbon metabolism in cancer,Human Diseases,Cancers: Overview
ko05231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline metabolism in cancer,Human Diseases,Cancers: Overview
ko05310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asthma,Human Diseases,Immune diseases
ko05320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Autoimmune thyroid disease,Human Diseases,Immune diseases
ko05321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inflammatory bowel disease (IBD),Human Diseases,Immune diseases
ko05322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Systemic lupus erythematosus,Human Diseases,Immune diseases
ko05323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rheumatoid arthritis,Human Diseases,Immune diseases
ko05330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allograft rejection,Human Diseases,Immune diseases
ko05332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Graft-versus-host disease,Human Diseases,Immune diseases
ko05340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Primary immunodeficiency,Human Diseases,Immune diseases
ko05410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hypertrophic cardiomyopathy (HCM),Human Diseases,Cardiovascular diseases
ko05412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Human Diseases,Cardiovascular diseases
ko05414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dilated cardiomyopathy,Human Diseases,Cardiovascular diseases
ko05416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Viral myocarditis,Human Diseases,Cardiovascular diseases
